"Season","Name","LastName","FirstName","Number","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftOverall","GP","G","A","P","PlusMinus","PIM"
20152016,"Steve Bernier","Bernier","Steve",16,"NYI","R","R","1985-03-31","QuebecCity","CAN","QC","CAN",75,220,2003,1,16,24,1,5,6,3,9
20022003,"Rick Berry","Berry","Rick",4,"WSH","D","L","1978-11-04","Birtlen","CAN","MB","CAN",74,213,1997,3,55,43,2,1,3,-3,87
20032004,"Rick Berry","Berry","Rick",4,"WSH","D","L","1978-11-04","Birtlen","CAN","MB","CAN",74,213,1997,3,55,65,0,6,6,-5,108
20072008,"Adam Berti","Berti","Adam",45,"CHI","L","L","1986-07-01","Scarborough","CAN","ON","CAN",75,205,2004,3,68,2,0,0,0,0,0
20152016,"Christoph Bertschy","Bertschy","Christoph",47,"MIN","C","R","1994-04-05","Fribourg","CHE",NA,"CHE",70,189,2012,6,158,3,0,0,0,0,0
20022003,"Todd Bertuzzi","Bertuzzi","Todd",44,"VAN","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,82,46,51,97,2,144
20032004,"Todd Bertuzzi","Bertuzzi","Todd",44,"VAN","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,69,17,43,60,21,122
20052006,"Todd Bertuzzi","Bertuzzi","Todd",44,"VAN","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,82,25,46,71,-17,120
20062007,"Todd Bertuzzi","Bertuzzi","Todd",44,"FLA, DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,15,3,8,11,-1,19
20072008,"Todd Bertuzzi","Bertuzzi","Todd",44,"ANA","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,68,14,26,40,8,97
20082009,"Todd Bertuzzi","Bertuzzi","Todd",44,"CGY","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,66,15,29,44,-13,74
20092010,"Todd Bertuzzi","Bertuzzi","Todd",44,"DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,82,18,26,44,-7,80
20102011,"Todd Bertuzzi","Bertuzzi","Todd",44,"DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,81,16,29,45,-7,71
20112012,"Todd Bertuzzi","Bertuzzi","Todd",44,"DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,71,14,24,38,23,64
20122013,"Todd Bertuzzi","Bertuzzi","Todd",44,"DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,7,2,1,3,3,2
20132014,"Todd Bertuzzi","Bertuzzi","Todd",44,"DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,59,9,7,16,-17,40
20022003,"Craig Berube","Berube","Craig",27,"CGY","L","L","1965-12-17","Calahoo","CAN","AB","CAN",73,205,NA,NA,NA,55,2,4,6,-6,100
20022003,"Blair Betts","Betts","Blair",11,"CGY","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,9,1,3,4,3,0
20032004,"Blair Betts","Betts","Blair",11,"CGY","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,20,1,2,3,-1,10
20052006,"Blair Betts","Betts","Blair",11,"NYR","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,66,8,2,10,-10,24
20062007,"Blair Betts","Betts","Blair",11,"NYR","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,82,9,4,13,-4,24
20072008,"Blair Betts","Betts","Blair",11,"NYR","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,75,2,5,7,-4,20
20082009,"Blair Betts","Betts","Blair",11,"NYR","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,81,6,4,10,-5,16
20092010,"Blair Betts","Betts","Blair",11,"PHI","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,63,8,10,18,7,14
20102011,"Blair Betts","Betts","Blair",11,"PHI","C","L","1980-02-16","Edmonton","CAN","AB","CAN",75,210,1998,2,33,75,5,7,12,-3,8
20032004,"Goran Bezina","Bezina","Goran",57,"PHX","D","L","1980-03-21","Split","HRV",NA,"CHE",74,225,1999,8,234,3,0,0,0,-1,2
20022003,"Jiri Bicek","Bicek","Jiri",9,"NJD","R","L","1978-12-03","Kosice","SVK",NA,"SVK",70,195,1997,5,131,44,5,6,11,7,25
20032004,"Jiri Bicek","Bicek","Jiri",9,"NJD","R","L","1978-12-03","Kosice","SVK",NA,"SVK",70,195,1997,5,131,12,0,1,1,0,0
20112012,"Stu Bickel","Bickel","Stu",4,"NYR","D","R","1986-10-02","Chanhassen","USA","MN","USA",76,210,NA,NA,NA,51,0,9,9,2,108
20122013,"Stu Bickel","Bickel","Stu",4,"NYR","D","R","1986-10-02","Chanhassen","USA","MN","USA",76,210,NA,NA,NA,16,0,0,0,-2,49
20142015,"Stu Bickel","Bickel","Stu",4,"MIN","D","R","1986-10-02","Chanhassen","USA","MN","USA",76,210,NA,NA,NA,9,0,1,1,1,46
20062007,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,3,2,0,2,1,0
20072008,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,4,0,0,0,-1,2
20092010,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,16,3,1,4,4,5
20102011,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,78,17,20,37,6,40
20112012,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,71,9,15,24,-3,48
20122013,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,48,9,14,23,12,25
20132014,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,59,11,4,15,-6,28
20142015,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,80,14,14,28,5,38
20152016,"Bryan Bickell","Bickell","Bryan",29,"CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,25,0,2,2,-5,2
20142015,"Alex Biega","Biega","Alex",55,"VAN","D","R","1988-04-04","Montreal","CAN","QC","CAN",70,187,2006,5,147,7,1,0,1,-2,0
20152016,"Alex Biega","Biega","Alex",55,"VAN","D","R","1988-04-04","Montreal","CAN","QC","CAN",70,187,2006,5,147,51,0,7,7,-11,22
20142015,"Danny Biega","Biega","Danny",41,"CAR","D","R","1991-09-29","Montreal","CAN","QC","CAN",72,205,2010,3,67,10,0,2,2,-5,0
20052006,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,39,0,6,6,-1,77
20062007,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,81,12,30,42,1,134
20072008,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,34,2,10,12,-11,90
20082009,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,72,11,32,43,-4,97
20092010,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,55,3,19,22,-5,85
20102011,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,66,6,16,22,32,73
20112012,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,78,8,36,44,12,94
20122013,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,36,6,6,12,6,48
20132014,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,76,4,20,24,-8,104
20142015,"Kevin Bieksa","Bieksa","Kevin",2,"VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,60,4,10,14,0,77
20152016,"Kevin Bieksa","Bieksa","Kevin",2,"ANA","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,71,4,11,15,-7,99
20152016,"Chris Bigras","Bigras","Chris",3,"COL","D","L","1995-02-22","Orillia","CAN","ON","CAN",73,190,2013,2,32,31,1,2,3,-2,16
20132014,"Chad Billins","Billins","Chad",41,"CGY","D","L","1989-05-26","PortHuron","USA","MI","USA",70,180,NA,NA,NA,10,0,3,3,-3,0
20022003,"Mathieu Biron","Biron","Mathieu",34,"FLA","D","R","1980-04-29","LacStCharles","CAN","QC","CAN",78,233,1998,1,21,34,1,8,9,-18,14
20032004,"Mathieu Biron","Biron","Mathieu",34,"FLA","D","R","1980-04-29","LacStCharles","CAN","QC","CAN",78,233,1998,1,21,57,3,10,13,-13,51
20052006,"Mathieu Biron","Biron","Mathieu",34,"WSH","D","R","1980-04-29","LacStCharles","CAN","QC","CAN",78,233,1998,1,21,52,4,9,13,-11,50
20062007,"Sebastien Bisaillon","Bisaillon","Sebastien",60,"EDM","D","R","1986-12-08","MontLaurier","CAN","QC","CAN",72,205,NA,NA,NA,2,0,0,0,-1,0
20032004,"Mike Bishai","Bishai","Mike",12,"EDM","C","L","1979-05-30","Edmonton","CAN","AB","CAN",71,185,NA,NA,NA,14,0,2,2,0,19
20082009,"Paul Bissonnette","Bissonnette","Paul",12,"PIT","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,15,0,1,1,-1,22
20092010,"Paul Bissonnette","Bissonnette","Paul",12,"PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,41,3,2,5,-2,117
20102011,"Paul Bissonnette","Bissonnette","Paul",12,"PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,48,1,0,1,6,71
20112012,"Paul Bissonnette","Bissonnette","Paul",12,"PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,31,1,0,1,-4,41
20122013,"Paul Bissonnette","Bissonnette","Paul",12,"PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,28,0,6,6,2,36
20132014,"Paul Bissonnette","Bissonnette","Paul",12,"PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,39,2,6,8,6,53
20142015,"Anthony Bitetto","Bitetto","Anthony",2,"NSH","D","L","1990-07-15","IslandPark","USA","NY","USA",73,210,2010,6,168,7,0,0,0,-1,7
20152016,"Anthony Bitetto","Bitetto","Anthony",2,"NSH","D","L","1990-07-15","IslandPark","USA","NY","USA",73,210,2010,6,168,28,1,5,6,0,19
20082009,"Byron Bitz","Bitz","Byron",34,"BOS","R","R","1984-07-21","Saskatoon","CAN","SK","CAN",77,215,2003,4,107,35,4,3,7,0,18
20092010,"Byron Bitz","Bitz","Byron",34,"BOS, FLA","R","R","1984-07-21","Saskatoon","CAN","SK","CAN",77,215,2003,4,107,52,5,6,11,-8,33
20112012,"Byron Bitz","Bitz","Byron",34,"VAN","R","R","1984-07-21","Saskatoon","CAN","SK","CAN",77,215,2003,4,107,10,1,3,4,2,14
20152016,"Oliver Bjorkstrand","Bjorkstrand","Oliver",28,"CBJ","R","R","1995-04-10","Herning","DNK",NA,"DNK",72,177,2013,3,89,12,4,4,8,6,0
20122013,"Nick Bjugstad","Bjugstad","Nick",27,"FLA","C","R","1992-07-17","Minneapolis","USA","MN","USA",78,218,2010,1,19,11,1,0,1,-8,2
20132014,"Nick Bjugstad","Bjugstad","Nick",27,"FLA","C","R","1992-07-17","Minneapolis","USA","MN","USA",78,218,2010,1,19,76,16,22,38,-14,16
20142015,"Nick Bjugstad","Bjugstad","Nick",27,"FLA","C","R","1992-07-17","Minneapolis","USA","MN","USA",78,218,2010,1,19,72,24,19,43,-7,38
20152016,"Nick Bjugstad","Bjugstad","Nick",27,"FLA","C","R","1992-07-17","Minneapolis","USA","MN","USA",78,218,2010,1,19,67,15,19,34,-8,41
20142015,"Jesse Blacker","Blacker","Jesse",77,"ANA","D","R","1991-04-19","Toronto","CAN","ON","CAN",73,190,2009,2,58,1,0,0,0,-2,0
20022003,"Jason Blake","Blake","Jason",33,"NYI","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,81,25,30,55,16,58
20032004,"Jason Blake","Blake","Jason",33,"NYI","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,75,22,25,47,11,56
20052006,"Jason Blake","Blake","Jason",33,"NYI","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,76,28,29,57,0,60
20062007,"Jason Blake","Blake","Jason",33,"NYI","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,82,40,29,69,1,34
20072008,"Jason Blake","Blake","Jason",33,"TOR","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,82,15,37,52,-4,28
20082009,"Jason Blake","Blake","Jason",33,"TOR","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,78,25,38,63,-2,40
20092010,"Jason Blake","Blake","Jason",33,"TOR, ANA","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,82,16,25,41,-10,36
20102011,"Jason Blake","Blake","Jason",33,"ANA","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,76,16,16,32,-5,41
20112012,"Jason Blake","Blake","Jason",33,"ANA","L","L","1973-09-02","Moorhead","USA","MN","USA",70,190,NA,NA,NA,45,7,5,12,-4,6
20022003,"Rob Blake","Blake","Rob",4,"COL","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,79,17,28,45,20,57
20032004,"Rob Blake","Blake","Rob",4,"COL","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,74,13,33,46,6,61
20052006,"Rob Blake","Blake","Rob",4,"COL","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,81,14,37,51,2,94
20062007,"Rob Blake","Blake","Rob",4,"LAK","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,72,14,20,34,-26,82
20072008,"Rob Blake","Blake","Rob",4,"LAK","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,71,9,22,31,-19,98
20082009,"Rob Blake","Blake","Rob",4,"SJS","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,73,10,35,45,15,110
20092010,"Rob Blake","Blake","Rob",4,"SJS","D","R","1969-12-10","Simcoe","CAN","ON","CAN",76,220,1988,4,70,70,7,23,30,14,60
20122013,"Nicolas Blanchard","Blanchard","Nicolas",72,"CAR","L","L","1987-05-31","Granby","CAN","QC","CAN",75,205,2005,6,192,9,0,0,0,-2,20
20152016,"Joseph Blandisi","Blandisi","Joseph",64,"NJD","L","L","1994-07-18","Markham","CAN","ON","CAN",72,200,2012,6,162,41,5,12,17,-14,34
20022003,"Zdenek Blatny","Blatny","Zdenek",89,"ATL","L","L","1981-01-14","Brno","CZE",NA,"CZE",73,195,1999,3,68,4,0,0,0,-1,0
20032004,"Zdenek Blatny","Blatny","Zdenek",89,"ATL","L","L","1981-01-14","Brno","CZE",NA,"CZE",73,195,1999,3,68,16,3,0,3,0,6
20052006,"Zdenek Blatny","Blatny","Zdenek",89,"BOS","L","L","1981-01-14","Brno","CZE",NA,"CZE",73,195,1999,3,68,5,0,0,0,-2,2
20092010,"Mario Bliznak","Bliznak","Mario",62,"VAN","C","L","1987-03-06","Trencin","SVK",NA,"SVK",72,185,2005,7,205,2,0,0,0,-2,0
20102011,"Mario Bliznak","Bliznak","Mario",62,"VAN","C","L","1987-03-06","Trencin","SVK",NA,"SVK",72,185,2005,7,205,4,1,0,1,1,0
20022003,"Sylvain Blouin","Blouin","Sylvain",26,"MIN, MTL","L","L","1974-05-21","Montreal","CAN","QC","CAN",74,215,1994,4,104,19,0,0,0,-3,47
20102011,"Jonathon Blum","Blum","Jonathon",7,"NSH","D","R","1989-01-30","LongBeach","USA","CA","USA",73,188,2007,1,23,23,3,5,8,8,8
20112012,"Jonathon Blum","Blum","Jonathon",7,"NSH","D","R","1989-01-30","LongBeach","USA","CA","USA",73,188,2007,1,23,33,3,4,7,-14,6
20122013,"Jonathon Blum","Blum","Jonathon",7,"NSH","D","R","1989-01-30","LongBeach","USA","CA","USA",73,188,2007,1,23,35,1,6,7,-1,6
20132014,"Jonathon Blum","Blum","Jonathon",7,"MIN","D","R","1989-01-30","LongBeach","USA","CA","USA",73,188,2007,1,23,15,0,1,1,-1,0
20142015,"Jonathon Blum","Blum","Jonathon",7,"MIN","D","R","1989-01-30","LongBeach","USA","CA","USA",73,188,2007,1,23,4,0,1,1,-3,2
20062007,"Mike Blunden","Blunden","Mike",14,"CHI","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,9,0,0,0,-5,10
20072008,"Mike Blunden","Blunden","Mike",14,"CHI","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,1,0,0,0,-1,0
20092010,"Mike Blunden","Blunden","Mike",14,"CBJ","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,40,2,2,4,3,59
20102011,"Mike Blunden","Blunden","Mike",14,"CBJ","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,1,0,0,0,-1,0
20112012,"Mike Blunden","Blunden","Mike",14,"MTL","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,39,2,2,4,-1,27
20122013,"Mike Blunden","Blunden","Mike",14,"MTL","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,5,0,0,0,-1,4
20132014,"Mike Blunden","Blunden","Mike",14,"MTL","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,7,0,0,0,-2,5
20142015,"Mike Blunden","Blunden","Mike",14,"TBL","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,2,0,0,0,-1,2
20152016,"Mike Blunden","Blunden","Mike",14,"TBL","R","R","1986-12-15","Toronto","CAN","ON","CAN",76,217,2005,2,43,20,3,2,5,3,34
20052006,"Brandon Bochenski","Bochenski","Brandon",27,"OTT, CHI","R","R","1982-04-04","Blaine","USA","MN","USA",73,195,2001,7,223,40,8,9,17,-2,22
20062007,"Brandon Bochenski","Bochenski","Brandon",27,"CHI, BOS","R","R","1982-04-04","Blaine","USA","MN","USA",73,195,2001,7,223,41,13,11,24,1,16
20072008,"Brandon Bochenski","Bochenski","Brandon",27,"BOS, ANA, NSH","R","R","1982-04-04","Blaine","USA","MN","USA",73,195,2001,7,223,40,3,10,13,6,12
20082009,"Brandon Bochenski","Bochenski","Brandon",27,"TBL","R","R","1982-04-04","Blaine","USA","MN","USA",73,195,2001,7,223,7,0,1,1,-3,2
20092010,"Brandon Bochenski","Bochenski","Brandon",27,"TBL","R","R","1982-04-04","Blaine","USA","MN","USA",73,195,2001,7,223,28,4,9,13,-1,2
20082009,"Troy Bodie","Bodie","Troy",40,"ANA","R","R","1985-01-25","PortageLaPrairie","CAN","MB","CAN",77,226,2003,9,278,4,0,0,0,0,0
20092010,"Troy Bodie","Bodie","Troy",40,"ANA","R","R","1985-01-25","PortageLaPrairie","CAN","MB","CAN",77,226,2003,9,278,44,5,2,7,-8,80
20102011,"Troy Bodie","Bodie","Troy",40,"ANA, CAR","R","R","1985-01-25","PortageLaPrairie","CAN","MB","CAN",77,226,2003,9,278,59,1,3,4,-7,61
20132014,"Troy Bodie","Bodie","Troy",40,"TOR","R","R","1985-01-25","PortageLaPrairie","CAN","MB","CAN",77,226,2003,9,278,47,3,7,10,6,26
20142015,"Troy Bodie","Bodie","Troy",40,"TOR","R","R","1985-01-25","PortageLaPrairie","CAN","MB","CAN",77,226,2003,9,278,5,0,0,0,0,5
20092010,"Andrew Bodnarchuk","Bodnarchuk","Andrew",NA,"BOS","D","L","1988-07-11","Drumheller","CAN","AB","CAN",71,195,2006,5,128,5,0,0,0,-2,2
20152016,"Andrew Bodnarchuk","Bodnarchuk","Andrew",NA,"CBJ, COL","D","L","1988-07-11","Drumheller","CAN","AB","CAN",71,195,2006,5,128,37,0,4,4,-7,14
20082009,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,78,11,17,28,-6,18
20092010,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,14,1,2,3,2,0
20102011,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,34,4,10,14,11,8
20112012,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,82,11,13,24,-2,12
20122013,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,48,7,19,26,0,12
20132014,"Mikkel Boedker","Boedker","Mikkel",89,"PHX","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,82,19,32,51,-9,20
20142015,"Mikkel Boedker","Boedker","Mikkel",89,"ARI","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,45,14,14,28,-10,6
20152016,"Mikkel Boedker","Boedker","Mikkel",89,"ARI, COL","L","L","1989-12-16","Brondby","DNK",NA,"DNK",72,211,2008,1,8,80,17,34,51,-33,12
20082009,"Zach Bogosian","Bogosian","Zach",47,"ATL","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,47,9,10,19,11,47
20092010,"Zach Bogosian","Bogosian","Zach",47,"ATL","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,81,10,13,23,-18,61
20102011,"Zach Bogosian","Bogosian","Zach",47,"ATL","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,71,5,12,17,-27,29
20112012,"Zach Bogosian","Bogosian","Zach",47,"WPG","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,65,5,25,30,-3,71
20122013,"Zach Bogosian","Bogosian","Zach",47,"WPG","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,33,5,9,14,-5,29
20132014,"Zach Bogosian","Bogosian","Zach",47,"WPG","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,55,3,8,11,3,48
20142015,"Zach Bogosian","Bogosian","Zach",47,"WPG, BUF","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,62,3,17,20,-6,78
20152016,"Zach Bogosian","Bogosian","Zach",47,"BUF","D","R","1990-07-15","Massena","USA","NY","USA",75,219,2008,1,3,64,7,17,24,-11,68
20022003,"Eric Boguniecki","Boguniecki","Eric",33,"STL","C","R","1975-05-06","NewHaven","USA","CT","USA",68,198,1993,8,193,80,22,27,49,22,38
20032004,"Eric Boguniecki","Boguniecki","Eric",33,"STL","C","R","1975-05-06","NewHaven","USA","CT","USA",68,198,1993,8,193,27,6,4,10,-1,20
20052006,"Eric Boguniecki","Boguniecki","Eric",33,"STL, PIT","C","R","1975-05-06","NewHaven","USA","CT","USA",68,198,1993,8,193,47,6,10,16,-3,33
20062007,"Eric Boguniecki","Boguniecki","Eric",33,"NYI","C","R","1975-05-06","NewHaven","USA","CT","USA",68,198,1993,8,193,11,0,0,0,0,8
20022003,"Patrick Boileau","Boileau","Patrick",5,"DET","D","R","1975-02-22","Montreal","CAN","QC","CAN",72,200,1993,3,69,25,2,6,8,8,14
20032004,"Patrick Boileau","Boileau","Patrick",5,"PIT","D","R","1975-02-22","Montreal","CAN","QC","CAN",72,200,1993,3,69,16,3,4,7,-16,8
20062007,"Danny Bois","Bois","Danny",34,"OTT","R","R","1983-06-01","ThunderBay","CAN","ON","CAN",72,196,2001,4,97,1,0,0,0,0,7
20082009,"Alexandre Bolduc","Bolduc","Alexandre",49,"VAN","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,7,0,1,1,1,4
20092010,"Alexandre Bolduc","Bolduc","Alexandre",49,"VAN","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,15,0,0,0,-3,13
20102011,"Alexandre Bolduc","Bolduc","Alexandre",49,"VAN","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,24,2,2,4,1,21
20112012,"Alexandre Bolduc","Bolduc","Alexandre",49,"PHX","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,2,0,0,0,-1,2
20122013,"Alexandre Bolduc","Bolduc","Alexandre",49,"PHX","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,14,0,0,0,-4,2
20142015,"Alexandre Bolduc","Bolduc","Alexandre",49,"ARI","C","L","1985-06-26","Montreal","CAN","QC","CAN",75,200,2003,4,127,3,0,0,0,-1,2
20072008,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,75,5,5,10,-4,226
20082009,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,75,4,10,14,-6,180
20092010,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,68,4,3,7,-8,149
20102011,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,73,7,5,12,-2,182
20112012,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,54,2,1,3,-8,126
20122013,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,43,2,4,6,1,100
20132014,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,28,1,1,2,-6,62
20142015,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,72,1,4,5,-13,109
20152016,"Jared Boll","Boll","Jared",40,"CBJ","R","R","1986-05-13","Charlotte","USA","NC","USA",75,209,2005,4,101,30,1,2,3,-3,61
20062007,"Dave Bolland","Bolland","Dave",NA,"CHI","C","R","1986-06-05","Mimico","CAN","ON","CAN",72,184,2004,2,32,1,0,0,0,-1,0
20072008,"Dave Bolland","Bolland","Dave",NA,"CHI","C","R","1986-06-05","Mimico","CAN","ON","CAN",72,184,2004,2,32,39,4,13,17,6,28
