"X1","X2","X3","X4","X5"
"13.5","Candice Bergen/Cher","6.3","26","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"13.6","Danny DeVito/Bryan Ferry","5.7","25","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"13.7","Angie Dickinson/Buster Pointdexter/David Gilmour","6.1","23","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"13.8","Paul Simon/Linda Ronstadt","5.5","25","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"13.9","Robin Williams/James Taylor","6.7","25","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"13.10","Carl Weathers/Robbie Robertson","6.0","21","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"13.11","Justine Bateman/Terrance Trent D'Arby","6.4","23","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"13.12","Tom Hanks/Randy Travis","5.8","32","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"13.13","Judge Reinhold/10,000 Maniacs","6.4","21","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"14.1","Tom Hanks/Keith Richards","6.8","43","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"14.2","Matthew Broderick/The Sugarcubes","5.4","30","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"14.3","John Larroquette/Randy Newman & Mark Knopfler","5.8","25","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"14.4","Matthew Modine/Edie Brickell & New Bohemians","5.6","23","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"14.5","Demi Moore/Johnny Clegg & Savuka","6.3","29","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"14.6","John Lithgow/Tracy Chapman","6.4","23","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"14.7","Danny DeVito/The Bangles","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"14.8","Kevin Kline/Bobby McFerrin","7.0","24","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"14.9","Melanie Griffith/Little Feat","6.4","24","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"14.10","John Malkovich/Anita Baker","6.2","22","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"14.11","Tony Danza/John Hiatt","6.4","19","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"14.12","Ted Danson/Luther Vandross","5.6","27","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"14.13","Leslie Nielsen/Cowboy Junkies","6.2","30","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"14.14","Glenn Close/Gipsy Kings","5.9","31","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"14.15","Mary Tyler Moore/Elvis Costello","6.1","28","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"14.16","Mel Gibson/Living Colour","5.8","39","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"14.17","Dolly Parton","6.0","29","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"14.18","Geena Davis/John Mellencamp","5.7","26","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"14.19","Wayne Gretzky/Fine Young Cannibals","6.2","29","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"14.20","Steve Martin/Tom Petty & The Heartbreakers","7.6","30","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"15.1","Bruce Willis/Neil Young","6.6","34","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"15.2","Rick Moranis/Rickie Lee Jones","5.9","32","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"15.3","Kathleen Turner/Billy Joel","6.2","27","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"15.4","James Woods/Don Henley","5.9","27","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"15.5","Chris Evert/Eurythmics","6.0","23","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"15.6","Woody Harrelson/David Byrne","6.0","36","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"15.7","John Goodman/k.d. lang","5.9","28","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"15.8","Robert Wagner/Linda Ronstadt & Aaron Neville","6.1","21","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"15.9","Andie MacDowell/Tracy Chapman","5.3","22","1
2
3
4
5
6
7
8
9
10

5.3/10
X"
"15.10","Ed O'Neill/Harry Connick Jr.","6.1","36","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"15.11","Christopher Walken/Bonnie Raitt","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"15.12","Quincy Jones & Co.","5.5","26","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"15.13","Tom Hanks/Aerosmith","6.7","40","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"15.14","Fred Savage/Technotronic","6.5","30","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"15.15","Rob Lowe/The Pogues","6.1","37","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"15.16","Debra Winger/Eric Clapton","5.8","28","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"15.17","Corbin Bernsen/The Smithereens","5.9","26","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"15.18","Alec Baldwin/The B-52's","6.5","44","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"15.19","Andrew Dice Clay/Julee Cruise/Spanic Boys","6.6","38","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"15.20","Candice Bergen/The Notting Hillbillies","4.9","23","1
2
3
4
5
6
7
8
9
10

4.9/10
X"
"16.1","Kyle MacLachlan/Sinéad O'Connor","7.3","52","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"16.2","Susan Lucci/Hothouse Flowers","6.5","28","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"16.3","George Steinbrenner/Morris Day & The Time","6.2","30","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"16.4","Patrick Swayze/Mariah Carey","7.9","59","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"16.5","Jimmy Smits/World Party","6.2","27","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"16.6","Dennis Hopper/Paul Simon","6.5","25","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"16.7","John Goodman/Faith No More","6.9","39","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"16.8","Tom Hanks/Edie Brickell & New Bohemians","6.7","42","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"16.9","Dennis Quaid/The Neville Brothers","5.7","30","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"16.10","Joe Mantegna/Vanilla Ice","6.5","31","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"16.11","Sting","6.4","36","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"16.12","Kevin Bacon/INXS","6.5","29","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"16.13","Roseanne Barr/Deee-lite","5.4","31","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"16.14","Alec Baldwin/Whitney Houston","6.8","55","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"16.15","Michael J. Fox/Black Crowes","6.6","39","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"16.16","Jeremy Irons/Fishbone","7.0","35","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"16.17","Catherine O'Hara/R.E.M.","6.6","31","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"16.18","Steven Seagal/Michael Bolton","6.0","43","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"16.19","Delta Burke/Chris Isaak","6.0","28","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"16.20","George Wendt/Elvis Costello","5.9","35","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"17.1","Michael Jordan/Public Enemy","7.2","59","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"17.2","Jeff Daniels/Color Me Badd","7.4","34","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"17.3","Kirstie Alley/Tom Petty & The Heartbreakers","6.9","29","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"17.4","Christian Slater/Bonnie Raitt","7.8","37","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"17.5","Kiefer Sutherland/Skid Row","7.7","34","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"17.6","Linda Hamilton/Mariah Carey","7.9","52","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"17.7","Macaulay Culkin/Tin Machine","7.4","44","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"17.8","Hammer","5.0","29","1
2
3
4
5
6
7
8
9
10

5.0/10
X"
"17.9","Steve Martin/James Taylor","8.0","46","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"17.10","Rob Morrow/Nirvana","7.6","37","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"17.11","Chevy Chase/Robbie Robertson","6.8","33","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"17.12","Susan Dey/C+C Music Factory","7.6","25","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"17.13","Jason Priestly/Teenage Fanclub","7.8","34","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"17.14","Roseanne & Tom Arnold/Red Hot Chili Peppers","7.8","56","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"17.15","John Goodman/Garth Brooks","7.7","32","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"17.16","Mary Stuart Masterson/En Vogue","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"17.17","Sharon Stone/Pearl Jam","7.9","41","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"17.18","Jerry Seinfeld/Annie Lennox","7.2","56","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"17.19","Tom Hanks/Bruce Springsteen","7.3","40","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"17.20","Woody Harrelson/Vanessa Williams","6.7","30","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"18.1","Nicolas Cage/Bobby Brown","6.3","37","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"18.2","Tim Robbins/Sinéad O'Connor","6.5","40","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"18.3","Joe Pesci/Spin Doctors","6.7","41","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"18.4","Christopher Walken/Arrested Development","7.7","45","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"18.5","Catherine O'Hara/10,000 Maniacs","6.8","35","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"18.6","Michael Keaton/Morrissey","7.2","37","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"18.7","Sinbad/Sade","5.1","26","1
2
3
4
5
6
7
8
9
10

5.1/10
X"
"18.8","Tom Arnold/Neil Young","5.5","33","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"18.9","Glenn Close/Black Crowes","6.2","28","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"18.10","Danny DeVito/Bon Jovi","6.3","34","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"18.11","Harvey Keitel/Madonna","7.2","38","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"18.12","Luke Perry/Mick Jagger","5.5","36","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"18.13","Alec Baldwin/Paul McCartney","7.7","49","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"18.14","Bill Murray/Sting","7.9","41","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"18.15","John Goodman/Mary J. Blige","6.4","30","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"18.16","Miranda Richardson/Soul Asylum","7.5","31","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"18.17","Jason Alexander/Peter Gabriel","7.1","37","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"18.18","Kirstie Alley/Lenny Kravitz","6.1","30","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"18.19","Christina Applegate/Midnight Oil","7.2","54","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"18.20","Kevin Kline/Willie Nelson & Paul Simon","6.0","28","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"19.1","Charles Barkley/Nirvana","7.5","54","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"19.2","Shannon Doherty/Cypress Hill","6.4","33","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"19.3","Jeff Goldblum/Aerosmith","6.2","46","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"19.4","John Malkovich/Billy Joel","7.1","35","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"19.5","Christian Slater/Smashing Pumpkins","6.7","35","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"19.6","Rosie O'Donnell/James Taylor","3.9","30","1
2
3
4
5
6
7
8
9
10

3.9/10
X"
"19.7","Nicole Kidman/Stone Temple Pilots","6.6","34","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"19.8","Charlton Heston/Paul Westerberg","6.1","45","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"19.9","Sally Field/Tony! Toni! Tone!","6.0","32","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"19.10","Jason Patric/Blind Melon","5.9","32","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"19.11","Sara Gilbert/Counting Crows","6.3","43","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"19.12","Patrick Stewart/Salt-N-Pepa","7.5","39","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"19.13","Alec Baldwin & Kim Basinger/UB40","6.2","37","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"19.14","Martin Lawrence/Crash Test Dummies","5.8","41","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"19.15","Nancy Kerrigan/Aretha Franklin","4.5","30","1
2
3
4
5
6
7
8
9
10

4.5/10
X"
"19.16","Helen Hunt/Snoop Doggy Dogg","6.9","34","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"19.17","Kelsey Grammer/Dwight Yoakam","5.0","26","1
2
3
4
5
6
7
8
9
10

5.0/10
X"
"19.18","Emilio Estevez/Pearl Jam","7.0","34","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"19.19","John Goodman/The Pretenders","5.4","27","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"19.20","Heather Locklear/Janet Jackson","6.3","32","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"20.1","Steve Martin/Eric Clapton","7.6","39","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"20.2","Marisa Tomei/Bonnie Raitt","6.9","34","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"20.3","John Travolta/Seal","8.0","46","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"20.4","Dana Carvey/Edie Brickell & Paul Simon","6.5","32","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"20.5","Sarah Jessica Parker/R.E.M.","6.2","32","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"20.6","John Turturro/Tom Petty & the Heartbreakers","6.3","33","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"20.7","Roseanne/Green Day","7.0","36","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"20.8","Alec Baldwin/Beastie Boys","7.3","46","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"20.9","George Foreman/Hole","6.1","30","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"20.10","Jeff Daniels/Luscious Jackson","7.9","34","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"20.11","David Hyde Pierce/Live","6.8","31","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"20.12","Bob Newhart/Des'ree","7.4","34","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"20.13","Deion Sanders/Bon Jovi","5.9","32","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"20.14","George Clooney/The Cranberries","5.8","37","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"20.15","Paul Reiser/Annie Lennox","6.7","30","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"20.16","John Goodman/Tragically Hip","7.7","39","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"20.17","Damon Wayans/Dionne Farris","7.1","29","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"20.18","Courteney Cox/Dave Matthews Band","7.4","43","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"20.19","Bob Saget/TLC","6.7","37","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"20.20","David Duchovny/Rod Stewart","8.0","43","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"21.1","Mariel Hemingway/Blues Traveler","6.9","33","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"21.2","Chevy Chase/Lisa Loeb and Nine Stories","6.5","35","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"21.3","David Schwimmer/Natalie Merchant","5.9","31","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"21.4","Gabriel Byrne/Alanis Morissette","6.4","29","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"21.5","Quentin Tarantino/Smashing Pumpkins","7.1","40","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"21.6","Laura Leighton/Rancid","5.8","34","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"21.7","Anthony Edwards/Foo Fighters","6.5","24","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"21.8","David Alan Grier/Silverchair","6.3","26","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"21.9","Madeline Kahn/Bush","5.4","28","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"21.10","Christopher Walken/Joan Osborne","7.4","40","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"21.11","Alec Baldwin/Tori Amos","6.8","33","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"21.12","Danny Aiello/Coolio","5.6","27","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"21.13","Tom Arnold/Tupac Shakur","6.8","34","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"21.14","Elle MacPherson/Sting","6.2","27","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"21.15","John Goodman/Everclear","7.5","29","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"21.16","Phil Hartman/Gin Blossoms","6.8","30","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"21.17","Steve Forbes/Rage Against the Machine","5.6","30","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"21.18","Teri Hatcher/Dave Matthews Band","6.4","25","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"21.19","Christine Baranski/The Cure","6.4","32","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"21.20","Jim Carrey/Soundgarden","8.5","138","1
2
3
4
5
6
7
8
9
10

8.5/10
X"
"22.1","Tom Hanks/Tom Petty & the Heartbreakers","4.3","44","1
2
3
4
5
6
7
8
9
10

4.3/10
X"
"22.2","Lisa Kudrow/Sheryl Crow","5.6","32","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"22.3","Bill Pullman/New Edition","4.8","28","1
2
3
4
5
6
7
8
9
10

4.8/10
X"
"22.4","Dana Carvey/Dr. Dre","6.1","23","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"22.5","Chris Rock/The Wallflowers","4.2","39","1
2
3
4
5
6
7
8
9
10

4.2/10
X"
"22.6","Robert Downey Jr/Fiona Apple","6.3","40","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"22.7","Phil Hartman/Bush","6.0","25","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"22.8","Martin Short/No Doubt","5.8","34","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"22.9","Rosie O'Donnell/Whitney Houston","4.0","44","1
2
3
4
5
6
7
8
9
10

4.0/10
X"
"22.10","Kevin Spacey/Beck","7.1","49","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"22.11","David Alan Grier/Snoop Doggy Dogg","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"22.12","Neve Campbell/David Bowie","6.2","37","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"22.13","Chevy Chase/Live","5.6","25","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"22.14","Alec Baldwin/Tina Turner","6.0","33","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"22.15","Sting/Veruca Salt","6.0","27","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"22.16","Mike Myers/Aerosmith","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"22.17","Rob Lowe/Spice Girls","5.9","38","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"22.18","Pamela Lee/Rollins Band","3.7","36","1
2
3
4
5
6
7
8
9
10

3.7/10
X"
"22.19","John Goodman/Jewel","6.3","37","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"22.20","Jeff Goldblum/En Vogue","6.3","25","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"23.1","Sylvester Stallone/Jamiroquai","7.4","43","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"23.2","Matthew Perry/Oasis","6.2","41","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"23.3","Brendan Fraser/Björk","5.4","41","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"23.4","Chris Farley/The Mighty Mighty Bosstones","6.6","50","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"23.5","Jon Lovitz/Jane's Addiction","5.6","30","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"23.6","Claire Danes/Mariah Carey","5.2","43","1
2
3
4
5
6
7
8
9
10

5.2/10
X"
"23.7","Rudy Giuliani/Sarah McLachlan","5.7","35","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"23.8","Nathan Lane/Metallica","6.1","33","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"23.9","Helen Hunt/Hanson","5.9","47","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"23.10","Samuel L. Jackson/Ben Folds Five","7.2","31","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"23.11","Sarah Michelle Gellar/Portishead","5.7","45","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"23.12","John Goodman/Paula Cole","5.7","29","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"23.13","Roma Downey/Missy 'Misdemeanor' Elliott","5.2","25","1
2
3
4
5
6
7
8
9
10

5.2/10
X"
"23.14","Garth Brooks","6.6","40","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"23.15","Scott Wolf/Natalie Imbruglia","4.5","26","1
2
3
4
5
6
7
8
9
10

4.5/10
X"
"23.16","Julianne Moore/Backstreet Boys","4.8","32","1
2
3
4
5
6
7
8
9
10

4.8/10
X"
"23.17","Steve Buscemi/Third Eye Blind","6.7","50","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"23.18","Greg Kinnear/All Saints","5.6","26","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"23.19","Matthew Broderick/Natalie Merchant","5.8","37","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"23.20","David Duchovny/Puff Daddy/Jimmy Page","5.5","57","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"24.1","Cameron Diaz/Smashing Pumpkins","6.6","45","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"24.2","Kelsey Grammer/Sheryl Crow","5.6","38","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"24.3","Lucy Lawless/Elliott Smith","7.4","49","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"24.4","Ben Stiller/Alanis Morrisette","5.9","40","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"24.5","David Spade/Eagle-Eye Cherry","5.3","37","1
2
3
4
5
6
7
8
9
10

5.3/10
X"
"24.6","Joan Allen/Jewel","5.2","26","1
2
3
4
5
6
7
8
9
10

5.2/10
X"
"24.7","Jennifer Love Hewitt/Beastie Boys","5.5","52","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"24.8","Vince Vaughn/Lauryn Hill","5.6","31","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"24.9","Alec Baldwin/Luciano Pavarotti, Vanessa Williams","6.4","45","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"24.10","Bill Paxton/Beck","6.6","48","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"24.11","James Van Der Beek/Everlast","5.2","30","1
2
3
4
5
6
7
8
9
10

5.2/10
X"
"24.12","Gwyneth Paltrow/Barenaked Ladies","6.2","44","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"24.13","Brendan Fraser/The Roots","6.5","37","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"24.14","Bill Murray/Lucinda Williams","6.0","34","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"24.15","Ray Romano/The Corrs","5.4","30","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"24.16","Drew Barrymore/Garbage","6.7","42","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"24.17","John Goodman/Tom Petty & The Heartbreakers","5.8","35","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"24.18","Cuba Gooding, Jr./Ricky Martin","3.8","44","1
2
3
4
5
6
7
8
9
10

3.8/10
X"
"24.19","Sarah Michelle Gellar/Backstreet Boys","6.5","64","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"25.1","Jerry Seinfeld/David Bowie","7.6","62","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"25.2","Heather Graham/Marc Anthony","5.9","34","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"25.3","Norm Macdonald/Dr. Dre & Snoop Dogg","7.4","39","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"25.4","Dylan McDermott/Foo Fighters","6.1","32","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"25.5","Garth Brooks/Chris Gaines","6.4","35","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"25.6","Jennifer Aniston/Sting","6.6","58","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"25.7","Christina Ricci/Beck","5.9","36","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"25.8","Danny DeVito/R.E.M.","6.1","36","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"25.9","Jamie Foxx/Blink-182","5.8","35","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"25.10","Freddie Prinze, Jr./Macy Gray","6.5","42","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"25.11","Alan Cumming/Jennifer Lopez","5.9","43","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"25.12","Julianna Margulies/DMX","6.1","27","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"25.13","Ben Affleck/Fiona Apple","6.8","54","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"25.14","Joshua Jackson/'N Sync","6.3","48","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"25.15","The Rock/AC/DC","7.2","53","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"25.16","Christopher Walken/Christina Aguilera","8.1","73","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
"25.17","Tobey Maguire/Sisqo","6.9","44","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"25.18","John Goodman/Neil Young","6.2","30","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"25.19","Britney Spears","4.9","66","1
2
3
4
5
6
7
8
9
10

4.9/10
X"
