"","X1","X2","X3","X4","X5"
"838","797","10","Adam Driver","Chris Stapleton","January 16, 2016 (2016-01-16)"
"839","798","11","Ronda Rousey","Selena Gomez","January 23, 2016 (2016-01-23)"
"840","799","12","Larry David","The 1975","February 6, 2016 (2016-02-06)"
"841","800","13","Melissa McCarthy","Kanye West","February 13, 2016 (2016-02-13)"
"842","801","14","Jonah Hill","Future","March 5, 2016 (2016-03-05)"
"843","802","15","Ariana Grande","Ariana Grande","March 12, 2016 (2016-03-12)"
"844","803","16","Peter Dinklage","Gwen Stefani","April 2, 2016 (2016-04-02)"
"845","804","17","Russell Crowe","Margo Price","April 9, 2016 (2016-04-09)"
"846","805","18","Julia Louis-Dreyfus","Nick Jonas","April 16, 2016 (2016-04-16)"
"847","806","19","Brie Larson","Alicia Keys","May 7, 2016 (2016-05-07)"
"848","807","20","Drake","Drake","May 14, 2016 (2016-05-14)"
"849","808","21","Fred Armisen","Courtney Barnett","May 21, 2016 (2016-05-21)"
"850","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"851","809","1","Margot Robbie","The Weeknd","October 1, 2016 (2016-10-01)"
"852","810","2","Lin-Manuel Miranda","Twenty One Pilots","October 8, 2016 (2016-10-08)"
"853","811","3","Emily Blunt","Bruno Mars","October 15, 2016 (2016-10-15)"
"854","812","4","Tom Hanks","Lady Gaga","October 22, 2016 (2016-10-22)"
"855","813","5","Benedict Cumberbatch","Solange","November 5, 2016 (2016-11-05)"
"856","814","6","Dave Chappelle","A Tribe Called Quest","November 12, 2016 (2016-11-12)"
"857","815","7","Kristen Wiig","The xx","November 19, 2016 (2016-11-19)"
"858","816","8","Emma Stone","Shawn Mendes","December 3, 2016 (2016-12-03)"
"859","817","9","John Cena","Maren Morris","December 10, 2016 (2016-12-10)"
"860","818","10","Casey Affleck","Chance the Rapper","December 17, 2016 (2016-12-17)"
"861","819","11","Felicity Jones","Sturgill Simpson","January 14, 2017 (2017-01-14)"
"862","820","12","Aziz Ansari","Big Sean","January 21, 2017 (2017-01-21)"
"863","821","13","Kristen Stewart","Alessia Cara","February 4, 2017 (2017-02-04)"
"864","822","14","Alec Baldwin","Ed Sheeran","February 11, 2017 (2017-02-11)"
"865","823","15","Octavia Spencer","Father John Misty","March 4, 2017 (2017-03-04)"
"866","824","16","Scarlett Johansson","Lorde","March 11, 2017 (2017-03-11)"
"867","825","17","Louis C.K.","The Chainsmokers","April 8, 2017 (2017-04-08)"
"868","826","18","Jimmy Fallon","Harry Styles","April 15, 2017 (2017-04-15)"
"869","827","19","Chris Pine","LCD Soundsystem","May 6, 2017 (2017-05-06)"
"870","828","20","Melissa McCarthy","HAIM","May 13, 2017 (2017-05-13)"
"871","829","21","Dwayne Johnson","Katy Perry","May 20, 2017 (2017-05-20)"
"872","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"873","830","1","Ryan Gosling","Jay-Z","September 30, 2017 (2017-09-30)"
"874","831","2","Gal Gadot","Sam Smith","October 7, 2017 (2017-10-07)"
"875","832","3","Kumail Nanjiani","P!nk","October 14, 2017 (2017-10-14)"
"876","833","4","Larry David","Miley Cyrus","November 4, 2017 (2017-11-04)"
"877","834","5","Tiffany Haddish","Taylor Swift","November 11, 2017 (2017-11-11)"
"878","835","6","Chance the Rapper[142]","Eminem[142]","November 18, 2017 (2017-11-18)"
"879","Title","Original air date","Ratings/
Share",NA,NA
"880","""Mardi Gras Special""","February 20, 1977 (1977-02-20)","N/A",NA,NA
"881","One of the few episodes to air from a location outside of NBC's studios at 30 Rockefeller Plaza in New York, the Mardi Gras Special was broadcast live from New Orleans on Mardi Gras 1977. It was hosted by Randy Newman, who also performed songs, and featured a number of special guests, including Buck Henry, Eric Idle, Cindy Williams, and Henry Winkler.[143]","One of the few episodes to air from a location outside of NBC's studios at 30 Rockefeller Plaza in New York, the Mardi Gras Special was broadcast live from New Orleans on Mardi Gras 1977. It was hosted by Randy Newman, who also performed songs, and featured a number of special guests, including Buck Henry, Eric Idle, Cindy Williams, and Henry Winkler.[143]","One of the few episodes to air from a location outside of NBC's studios at 30 Rockefeller Plaza in New York, the Mardi Gras Special was broadcast live from New Orleans on Mardi Gras 1977. It was hosted by Randy Newman, who also performed songs, and featured a number of special guests, including Buck Henry, Eric Idle, Cindy Williams, and Henry Winkler.[143]","One of the few episodes to air from a location outside of NBC's studios at 30 Rockefeller Plaza in New York, the Mardi Gras Special was broadcast live from New Orleans on Mardi Gras 1977. It was hosted by Randy Newman, who also performed songs, and featured a number of special guests, including Buck Henry, Eric Idle, Cindy Williams, and Henry Winkler.[143]",NA
"882","""SNL Film Festival""","March 2, 1985 (1985-03-02)","N/A",NA,NA
"883","A clip show hosted by Billy Crystal which featured SNL's best pretaped sketches and short films from 1981 to 1985, including short films by Albert Brooks, Gary Weis, Tom Schiller, and Christopher Guest.[144]","A clip show hosted by Billy Crystal which featured SNL's best pretaped sketches and short films from 1981 to 1985, including short films by Albert Brooks, Gary Weis, Tom Schiller, and Christopher Guest.[144]","A clip show hosted by Billy Crystal which featured SNL's best pretaped sketches and short films from 1981 to 1985, including short films by Albert Brooks, Gary Weis, Tom Schiller, and Christopher Guest.[144]","A clip show hosted by Billy Crystal which featured SNL's best pretaped sketches and short films from 1981 to 1985, including short films by Albert Brooks, Gary Weis, Tom Schiller, and Christopher Guest.[144]",NA
"884","""Saturday Night Live 15th Anniversary Special""","September 24, 1989 (1989-09-24)","N/A",NA,NA
"885","An anniversary show celebrating SNL's 15th season. Chevy Chase returned to reprise his ""opening fall"" bit in the cold open and Tom Hanks performed the opening monologue. Prince and Paul Simon performed. The show featured a number of special guests, including SNL stars Kevin Nealon, Phil Hartman, Dan Aykroyd, Jon Lovitz, Jane Curtin, Christopher Guest, Martin Short, and Buck Henry, as well as others including Robin Williams, Billy Crystal, Mary Tyler Moore, O.J. Simpson, and Bruce Willis.[145]","An anniversary show celebrating SNL's 15th season. Chevy Chase returned to reprise his ""opening fall"" bit in the cold open and Tom Hanks performed the opening monologue. Prince and Paul Simon performed. The show featured a number of special guests, including SNL stars Kevin Nealon, Phil Hartman, Dan Aykroyd, Jon Lovitz, Jane Curtin, Christopher Guest, Martin Short, and Buck Henry, as well as others including Robin Williams, Billy Crystal, Mary Tyler Moore, O.J. Simpson, and Bruce Willis.[145]","An anniversary show celebrating SNL's 15th season. Chevy Chase returned to reprise his ""opening fall"" bit in the cold open and Tom Hanks performed the opening monologue. Prince and Paul Simon performed. The show featured a number of special guests, including SNL stars Kevin Nealon, Phil Hartman, Dan Aykroyd, Jon Lovitz, Jane Curtin, Christopher Guest, Martin Short, and Buck Henry, as well as others including Robin Williams, Billy Crystal, Mary Tyler Moore, O.J. Simpson, and Bruce Willis.[145]","An anniversary show celebrating SNL's 15th season. Chevy Chase returned to reprise his ""opening fall"" bit in the cold open and Tom Hanks performed the opening monologue. Prince and Paul Simon performed. The show featured a number of special guests, including SNL stars Kevin Nealon, Phil Hartman, Dan Aykroyd, Jon Lovitz, Jane Curtin, Christopher Guest, Martin Short, and Buck Henry, as well as others including Robin Williams, Billy Crystal, Mary Tyler Moore, O.J. Simpson, and Bruce Willis.[145]",NA
"886","""2nd Annual Saturday Night Live Mother's Day Special""","May, 1993 (May, 1993)","TBD",NA,NA
"887","A Mother's Day special featuring the SNL ensemble with their real-life mothers as well as a compilation of sketches from the 1992-93 season.[146]","A Mother's Day special featuring the SNL ensemble with their real-life mothers as well as a compilation of sketches from the 1992-93 season.[146]","A Mother's Day special featuring the SNL ensemble with their real-life mothers as well as a compilation of sketches from the 1992-93 season.[146]","A Mother's Day special featuring the SNL ensemble with their real-life mothers as well as a compilation of sketches from the 1992-93 season.[146]",NA
"888","""Saturday Night Live 25th Anniversary Special""","September 26, 1999 (1999-09-26)","N/A",NA,NA
"889","A look back at the first 25 years.","A look back at the first 25 years.","A look back at the first 25 years.","A look back at the first 25 years.",NA
"890","""Live from New York: The First 5 Years of Saturday Night Live""","February 20, 2005 (2005-02-20)","N/A",NA,NA
"891","A documentary that takes a look back at SNL's rise to popularity from 1975 to 1979","A documentary that takes a look back at SNL's rise to popularity from 1975 to 1979","A documentary that takes a look back at SNL's rise to popularity from 1975 to 1979","A documentary that takes a look back at SNL's rise to popularity from 1975 to 1979",NA
"892","""SNL Goes Commercial""","November 5, 2005 (2005-11-05)","N/A",NA,NA
"893","A look back at the funniest and most memorable commercial parodies from the past years of SNL. Originally broadcast in the early 90s, hosted by Kevin Nealon and Victoria Jackson; later revisited in 2005, hosted by Will Ferrell, featuring a wrap-around of Ferrell heading to a commercial audition; re-edited and shown with newer commercial parodies on March 8, 2009, under the title SNL: Just Commercials.","A look back at the funniest and most memorable commercial parodies from the past years of SNL. Originally broadcast in the early 90s, hosted by Kevin Nealon and Victoria Jackson; later revisited in 2005, hosted by Will Ferrell, featuring a wrap-around of Ferrell heading to a commercial audition; re-edited and shown with newer commercial parodies on March 8, 2009, under the title SNL: Just Commercials.","A look back at the funniest and most memorable commercial parodies from the past years of SNL. Originally broadcast in the early 90s, hosted by Kevin Nealon and Victoria Jackson; later revisited in 2005, hosted by Will Ferrell, featuring a wrap-around of Ferrell heading to a commercial audition; re-edited and shown with newer commercial parodies on March 8, 2009, under the title SNL: Just Commercials.","A look back at the funniest and most memorable commercial parodies from the past years of SNL. Originally broadcast in the early 90s, hosted by Kevin Nealon and Victoria Jackson; later revisited in 2005, hosted by Will Ferrell, featuring a wrap-around of Ferrell heading to a commercial audition; re-edited and shown with newer commercial parodies on March 8, 2009, under the title SNL: Just Commercials.",NA
"894","""Lost & Found: SNL in the '80s""","November 20, 2005 (2005-11-20)","N/A",NA,NA
"895","A look back at SNL's rocky history in the 1980s: Jean Doumanian's notorious tenure as producer for the 1980-1981 season, the temporary cancelling, retooling, and reviving of SNL with the help of Dick Ebersol, Eddie Murphy, and Joe Piscopo, the return of Lorne Michaels in 1985 (and the second time that NBC would threaten the show with cancellation), and the second golden age of SNL with the hiring of Dana Carvey, Phil Hartman, Jan Hooks, Kevin Nealon, Victoria Jackson, and (later) Mike Myers.","A look back at SNL's rocky history in the 1980s: Jean Doumanian's notorious tenure as producer for the 1980-1981 season, the temporary cancelling, retooling, and reviving of SNL with the help of Dick Ebersol, Eddie Murphy, and Joe Piscopo, the return of Lorne Michaels in 1985 (and the second time that NBC would threaten the show with cancellation), and the second golden age of SNL with the hiring of Dana Carvey, Phil Hartman, Jan Hooks, Kevin Nealon, Victoria Jackson, and (later) Mike Myers.","A look back at SNL's rocky history in the 1980s: Jean Doumanian's notorious tenure as producer for the 1980-1981 season, the temporary cancelling, retooling, and reviving of SNL with the help of Dick Ebersol, Eddie Murphy, and Joe Piscopo, the return of Lorne Michaels in 1985 (and the second time that NBC would threaten the show with cancellation), and the second golden age of SNL with the hiring of Dana Carvey, Phil Hartman, Jan Hooks, Kevin Nealon, Victoria Jackson, and (later) Mike Myers.","A look back at SNL's rocky history in the 1980s: Jean Doumanian's notorious tenure as producer for the 1980-1981 season, the temporary cancelling, retooling, and reviving of SNL with the help of Dick Ebersol, Eddie Murphy, and Joe Piscopo, the return of Lorne Michaels in 1985 (and the second time that NBC would threaten the show with cancellation), and the second golden age of SNL with the hiring of Dana Carvey, Phil Hartman, Jan Hooks, Kevin Nealon, Victoria Jackson, and (later) Mike Myers.",NA
"896","""Saturday Night Live: The Best of Saturday TV Funhouse""","April 29, 2006 (2006-04-29)","N/A",NA,NA
"897","The Ambiguously Gay Duo host a retrospective of Rob Smigel's most memorable animated segments known as ""TV Funhouse"" while going behind the scenes of Saturday Night Live and tricking Andy Samberg and Jason Sudeikis into riding in the duo's penis-shaped car. Special appearance by former castmember Jimmy Fallon.","The Ambiguously Gay Duo host a retrospective of Rob Smigel's most memorable animated segments known as ""TV Funhouse"" while going behind the scenes of Saturday Night Live and tricking Andy Samberg and Jason Sudeikis into riding in the duo's penis-shaped car. Special appearance by former castmember Jimmy Fallon.","The Ambiguously Gay Duo host a retrospective of Rob Smigel's most memorable animated segments known as ""TV Funhouse"" while going behind the scenes of Saturday Night Live and tricking Andy Samberg and Jason Sudeikis into riding in the duo's penis-shaped car. Special appearance by former castmember Jimmy Fallon.","The Ambiguously Gay Duo host a retrospective of Rob Smigel's most memorable animated segments known as ""TV Funhouse"" while going behind the scenes of Saturday Night Live and tricking Andy Samberg and Jason Sudeikis into riding in the duo's penis-shaped car. Special appearance by former castmember Jimmy Fallon.",NA
"898","""Saturday Night Live: Best of 06-07""","May 5, 2007 (2007-05-05)","N/A",NA,NA
"899","Retrospective of the 32nd season's most memorable sketches, Digital Shorts, and Weekend Update jokes from episodes hosted by Alec Baldwin, Rainn Wilson, Peyton Manning, Julia Louis-Dreyfus, Dane Cook, Jake Gyllenhaal, Hugh Laurie, Jaime Pressly, Matthew Fox, and Justin Timberlake.","Retrospective of the 32nd season's most memorable sketches, Digital Shorts, and Weekend Update jokes from episodes hosted by Alec Baldwin, Rainn Wilson, Peyton Manning, Julia Louis-Dreyfus, Dane Cook, Jake Gyllenhaal, Hugh Laurie, Jaime Pressly, Matthew Fox, and Justin Timberlake.","Retrospective of the 32nd season's most memorable sketches, Digital Shorts, and Weekend Update jokes from episodes hosted by Alec Baldwin, Rainn Wilson, Peyton Manning, Julia Louis-Dreyfus, Dane Cook, Jake Gyllenhaal, Hugh Laurie, Jaime Pressly, Matthew Fox, and Justin Timberlake.","Retrospective of the 32nd season's most memorable sketches, Digital Shorts, and Weekend Update jokes from episodes hosted by Alec Baldwin, Rainn Wilson, Peyton Manning, Julia Louis-Dreyfus, Dane Cook, Jake Gyllenhaal, Hugh Laurie, Jaime Pressly, Matthew Fox, and Justin Timberlake.",NA
"900","""Saturday Night Live in the '90s: Pop Culture Nation[147]""","May 6, 2007 (2007-05-06)","N/A",NA,NA
"901","A look at SNL's rise, fall, and rebirth in the 1990s, featuring the hiring of Chris Farley, Adam Sandler, and David Spade as castmembers (and critics attacking the show for resorting to lowbrow humor as a result of hiring Sandler, Farley, and Spade), Sinéad O'Connor's infamous performance in the 1992 episode hosted by Tim Robbins, season 20 as yet another critical and ratings low point for the show, and the third golden age of SNL with the hiring of Will Ferrell, Darrell Hammond, Ana Gasteyer, Cheri Oteri, Molly Shannon, Jimmy Fallon, and Horatio Sanz.","A look at SNL's rise, fall, and rebirth in the 1990s, featuring the hiring of Chris Farley, Adam Sandler, and David Spade as castmembers (and critics attacking the show for resorting to lowbrow humor as a result of hiring Sandler, Farley, and Spade), Sinéad O'Connor's infamous performance in the 1992 episode hosted by Tim Robbins, season 20 as yet another critical and ratings low point for the show, and the third golden age of SNL with the hiring of Will Ferrell, Darrell Hammond, Ana Gasteyer, Cheri Oteri, Molly Shannon, Jimmy Fallon, and Horatio Sanz.","A look at SNL's rise, fall, and rebirth in the 1990s, featuring the hiring of Chris Farley, Adam Sandler, and David Spade as castmembers (and critics attacking the show for resorting to lowbrow humor as a result of hiring Sandler, Farley, and Spade), Sinéad O'Connor's infamous performance in the 1992 episode hosted by Tim Robbins, season 20 as yet another critical and ratings low point for the show, and the third golden age of SNL with the hiring of Will Ferrell, Darrell Hammond, Ana Gasteyer, Cheri Oteri, Molly Shannon, Jimmy Fallon, and Horatio Sanz.","A look at SNL's rise, fall, and rebirth in the 1990s, featuring the hiring of Chris Farley, Adam Sandler, and David Spade as castmembers (and critics attacking the show for resorting to lowbrow humor as a result of hiring Sandler, Farley, and Spade), Sinéad O'Connor's infamous performance in the 1992 episode hosted by Tim Robbins, season 20 as yet another critical and ratings low point for the show, and the third golden age of SNL with the hiring of Will Ferrell, Darrell Hammond, Ana Gasteyer, Cheri Oteri, Molly Shannon, Jimmy Fallon, and Horatio Sanz.",NA
"902","""Saturday Night Live Presidential Bash 2008""","November 3, 2008 (2008-11-03)","N/A",NA,NA
"903","A look at SNL's past and present political sketches. Special guests included John McCain and Sarah Palin.","A look at SNL's past and present political sketches. Special guests included John McCain and Sarah Palin.","A look at SNL's past and present political sketches. Special guests included John McCain and Sarah Palin.","A look at SNL's past and present political sketches. Special guests included John McCain and Sarah Palin.",NA
"904","""Saturday Night Live Sports Extra 2009""","January 4, 2009 (2009-01-04)","N/A",NA,NA
"905","A clip show episode highlighting SNL's many sports-themed sketches and the many sports stars who have appeared on the show, such as Derek Jeter, Peyton Manning, Michael Phelps, Nancy Kerrigan, Walter Payton, Joe Montana, Michael Jordan, and Charles Barkley.","A clip show episode highlighting SNL's many sports-themed sketches and the many sports stars who have appeared on the show, such as Derek Jeter, Peyton Manning, Michael Phelps, Nancy Kerrigan, Walter Payton, Joe Montana, Michael Jordan, and Charles Barkley.","A clip show episode highlighting SNL's many sports-themed sketches and the many sports stars who have appeared on the show, such as Derek Jeter, Peyton Manning, Michael Phelps, Nancy Kerrigan, Walter Payton, Joe Montana, Michael Jordan, and Charles Barkley.","A clip show episode highlighting SNL's many sports-themed sketches and the many sports stars who have appeared on the show, such as Derek Jeter, Peyton Manning, Michael Phelps, Nancy Kerrigan, Walter Payton, Joe Montana, Michael Jordan, and Charles Barkley.",NA
"906","""Saturday Night Live Just Game Show Parodies""","March 8, 2009 (2009-03-08)","N/A",NA,NA
"907","A look at SNL's past and present game show parodies.","A look at SNL's past and present game show parodies.","A look at SNL's past and present game show parodies.","A look at SNL's past and present game show parodies.",NA
"908","""Saturday Night Live: Just Shorts[148]""","May 17, 2009 (2009-05-17)","N/A",NA,NA
"909","A compilation of SNL's Digital Shorts and various pre-taped segments and short films over the years, hosted by Andy Samberg.","A compilation of SNL's Digital Shorts and various pre-taped segments and short films over the years, hosted by Andy Samberg.","A compilation of SNL's Digital Shorts and various pre-taped segments and short films over the years, hosted by Andy Samberg.","A compilation of SNL's Digital Shorts and various pre-taped segments and short films over the years, hosted by Andy Samberg.",NA
"910","""Saturday Night Live Presents: A Very Gilly Christmas""","December 17, 2009 (2009-12-17)","N/A",NA,NA
"911","A compilation of SNL's December holiday-themed sketches, with some new sketches, hosted by Kristen Wiig as her character Gilly. The latest incarnation of SNL Christmas specials, dating back to the early 90s under the title Saturday Night Live Christmas Past.","A compilation of SNL's December holiday-themed sketches, with some new sketches, hosted by Kristen Wiig as her character Gilly. The latest incarnation of SNL Christmas specials, dating back to the early 90s under the title Saturday Night Live Christmas Past.","A compilation of SNL's December holiday-themed sketches, with some new sketches, hosted by Kristen Wiig as her character Gilly. The latest incarnation of SNL Christmas specials, dating back to the early 90s under the title Saturday Night Live Christmas Past.","A compilation of SNL's December holiday-themed sketches, with some new sketches, hosted by Kristen Wiig as her character Gilly. The latest incarnation of SNL Christmas specials, dating back to the early 90s under the title Saturday Night Live Christmas Past.",NA
"912","""Saturday Night Live Sports All-Stars""","January 31, 2010 (2010-01-31)","N/A",NA,NA
"913","A compilation of SNL sport-themed sketches. Several similar specials, under the name Saturday Night Live Sports Extra, aired sporadically from the early 90s to 2009, traditionally around the time of that year's Super Bowl.","A compilation of SNL sport-themed sketches. Several similar specials, under the name Saturday Night Live Sports Extra, aired sporadically from the early 90s to 2009, traditionally around the time of that year's Super Bowl.","A compilation of SNL sport-themed sketches. Several similar specials, under the name Saturday Night Live Sports Extra, aired sporadically from the early 90s to 2009, traditionally around the time of that year's Super Bowl.","A compilation of SNL sport-themed sketches. Several similar specials, under the name Saturday Night Live Sports Extra, aired sporadically from the early 90s to 2009, traditionally around the time of that year's Super Bowl.",NA
"914","""Saturday Night Live in the 2000s: Time and Again""","April 15, 2010 (2010-04-15)","N/A",NA,NA
"915","Documentary looking back on Saturday Night Live's transformation and memorable moments from 2000 to 2009.","Documentary looking back on Saturday Night Live's transformation and memorable moments from 2000 to 2009.","Documentary looking back on Saturday Night Live's transformation and memorable moments from 2000 to 2009.","Documentary looking back on Saturday Night Live's transformation and memorable moments from 2000 to 2009.",NA
"916","""The Women of Saturday Night Live""","November 1, 2010 (2010-11-01)","2.0/5",NA,NA
"917","Tina Fey, Rachel Dratch, Amy Poehler, Maya Rudolph, Julia Louis-Dreyfus, Kristen Wiig, Nora Dunn, Laraine Newman, Molly Shannon, Ana Gasteyer, and Cheri Oteri come together to present new material and relive the best moments of SNL featuring the female cast members.","Tina Fey, Rachel Dratch, Amy Poehler, Maya Rudolph, Julia Louis-Dreyfus, Kristen Wiig, Nora Dunn, Laraine Newman, Molly Shannon, Ana Gasteyer, and Cheri Oteri come together to present new material and relive the best moments of SNL featuring the female cast members.","Tina Fey, Rachel Dratch, Amy Poehler, Maya Rudolph, Julia Louis-Dreyfus, Kristen Wiig, Nora Dunn, Laraine Newman, Molly Shannon, Ana Gasteyer, and Cheri Oteri come together to present new material and relive the best moments of SNL featuring the female cast members.","Tina Fey, Rachel Dratch, Amy Poehler, Maya Rudolph, Julia Louis-Dreyfus, Kristen Wiig, Nora Dunn, Laraine Newman, Molly Shannon, Ana Gasteyer, and Cheri Oteri come together to present new material and relive the best moments of SNL featuring the female cast members.",NA
"918","""Saturday Night Live Backstage""","February 20, 2011 (2011-02-20)","3.8/6",NA,NA
"919","Originally a special celebrating the 35th anniversary of the show was planned but was scrapped and replaced with this special instead, showing viewers how an SNL episode is created within the span of a week.","Originally a special celebrating the 35th anniversary of the show was planned but was scrapped and replaced with this special instead, showing viewers how an SNL episode is created within the span of a week.","Originally a special celebrating the 35th anniversary of the show was planned but was scrapped and replaced with this special instead, showing viewers how an SNL episode is created within the span of a week.","Originally a special celebrating the 35th anniversary of the show was planned but was scrapped and replaced with this special instead, showing viewers how an SNL episode is created within the span of a week.",NA
"920","""Saturday Night Live Christmas""","November 28, 2012 (2012-11-28)","7.36[149]",NA,NA
"921","A collection of memorable holiday-themed sketches from past and present eras.","A collection of memorable holiday-themed sketches from past and present eras.","A collection of memorable holiday-themed sketches from past and present eras.","A collection of memorable holiday-themed sketches from past and present eras.",NA
"922","""Saturday Night Live Halloween""","October 31, 2013 (2013-10-31)","5.32[150]",NA,NA
"923","A collection of Halloween-based sketches and scary movie parodies.","A collection of Halloween-based sketches and scary movie parodies.","A collection of Halloween-based sketches and scary movie parodies.","A collection of Halloween-based sketches and scary movie parodies.",NA
"924","""Saturday Night Live Thanksgiving""","November 27, 2013 (2013-11-27)","4.87[151]",NA,NA
"925","A compilation of SNL Thanksgiving-themed sketches.","A compilation of SNL Thanksgiving-themed sketches.","A compilation of SNL Thanksgiving-themed sketches.","A compilation of SNL Thanksgiving-themed sketches.",NA
"926","""Saturday Night Live Christmas""","December 4, 2013 (2013-12-04)","7.42[152]",NA,NA
"927","A collection of Christmas and December holiday-based sketches.","A collection of Christmas and December holiday-based sketches.","A collection of Christmas and December holiday-based sketches.","A collection of Christmas and December holiday-based sketches.",NA
"928","""Saturday Night Live: The Best of This Season""","January 4, 2014 (2014-01-04)","5.6/14[153]",NA,NA
"929","A compilation of the best sketches of the 39th season and 38th season.","A compilation of the best sketches of the 39th season and 38th season.","A compilation of the best sketches of the 39th season and 38th season.","A compilation of the best sketches of the 39th season and 38th season.",NA
"930","""Saturday Night Live Presents: A SNL Sports Spectacular""","January 30, 2014 (2014-01-30)","4.79[154]",NA,NA
"931","A collection of sketches from episodes hosted by professional athletes and other sports stars, hosted by Seth Meyers.","A collection of sketches from episodes hosted by professional athletes and other sports stars, hosted by Seth Meyers.","A collection of sketches from episodes hosted by professional athletes and other sports stars, hosted by Seth Meyers.","A collection of sketches from episodes hosted by professional athletes and other sports stars, hosted by Seth Meyers.",NA
"932","""SNL Shorts""","April 24, 2014 (2014-04-24)","N/A",NA,NA
"933","A compilation of SNL Digital Shorts.","A compilation of SNL Digital Shorts.","A compilation of SNL Digital Shorts.","A compilation of SNL Digital Shorts.",NA
"934","""SNL's NFL Saturday""","January 31, 2015 (2015-01-31)","3.80[155]",NA,NA
"935","Past sketches involving the NFL are shown.","Past sketches involving the NFL are shown.","Past sketches involving the NFL are shown.","Past sketches involving the NFL are shown.",NA
"936","""An SNL Valentine""","February 14, 2015 (2015-02-14)","N/A",NA,NA
"937","A special dedicated to Valentine's Day.","A special dedicated to Valentine's Day.","A special dedicated to Valentine's Day.","A special dedicated to Valentine's Day.",NA
"938","""SNL 40th Red Carpet Live""","February 15, 2015 (2015-02-15)","N/A",NA,NA
"939","A special hosted by Matt Lauer, Savannah Guthrie, Carson Daly and Al Roker. They will interview past hosts, current and previous cast members, and musical legends that previously performed on the show.","A special hosted by Matt Lauer, Savannah Guthrie, Carson Daly and Al Roker. They will interview past hosts, current and previous cast members, and musical legends that previously performed on the show.","A special hosted by Matt Lauer, Savannah Guthrie, Carson Daly and Al Roker. They will interview past hosts, current and previous cast members, and musical legends that previously performed on the show.","A special hosted by Matt Lauer, Savannah Guthrie, Carson Daly and Al Roker. They will interview past hosts, current and previous cast members, and musical legends that previously performed on the show.",NA
"940","""Saturday Night Live 40th Anniversary Special""","February 15, 2015 (2015-02-15)","23.1[158]",NA,NA
"941","A three and a half hour prime-time special celebrating SNL's fortieth year on the air.[156][157]","A three and a half hour prime-time special celebrating SNL's fortieth year on the air.[156][157]","A three and a half hour prime-time special celebrating SNL's fortieth year on the air.[156][157]","A three and a half hour prime-time special celebrating SNL's fortieth year on the air.[156][157]",NA
"942","""SNL Goodnight Sweet Prince""","April 23, 2016 (2016-04-23)","4.5/11[159]",NA,NA
"943","Jimmy Fallon hosts this special retrospective of Prince's rare, but memorable performances on the show, including his first performance on the infamous season six episode hosted by Charlene Tilton (the one in which Charles Rocket's accidental utterance of the word ""fuck"" called for NBC to fire then-showrunner Jean Doumanian and most of her cast), his performance on the SNL 15th anniversary special, his first performance after 21 years in 2006 on the season 31 episode hosted by Steve Martin, his final performance on the season 40 episode hosted by Chris Rock, a never-before-seen clip of his performance at the cast party following the SNL 40th anniversary special, and clips of the short-lived recurring sketch The Prince Show with Fred Armisen as Prince and Maya Rudolph as Beyonce.","Jimmy Fallon hosts this special retrospective of Prince's rare, but memorable performances on the show, including his first performance on the infamous season six episode hosted by Charlene Tilton (the one in which Charles Rocket's accidental utterance of the word ""fuck"" called for NBC to fire then-showrunner Jean Doumanian and most of her cast), his performance on the SNL 15th anniversary special, his first performance after 21 years in 2006 on the season 31 episode hosted by Steve Martin, his final performance on the season 40 episode hosted by Chris Rock, a never-before-seen clip of his performance at the cast party following the SNL 40th anniversary special, and clips of the short-lived recurring sketch The Prince Show with Fred Armisen as Prince and Maya Rudolph as Beyonce.","Jimmy Fallon hosts this special retrospective of Prince's rare, but memorable performances on the show, including his first performance on the infamous season six episode hosted by Charlene Tilton (the one in which Charles Rocket's accidental utterance of the word ""fuck"" called for NBC to fire then-showrunner Jean Doumanian and most of her cast), his performance on the SNL 15th anniversary special, his first performance after 21 years in 2006 on the season 31 episode hosted by Steve Martin, his final performance on the season 40 episode hosted by Chris Rock, a never-before-seen clip of his performance at the cast party following the SNL 40th anniversary special, and clips of the short-lived recurring sketch The Prince Show with Fred Armisen as Prince and Maya Rudolph as Beyonce.","Jimmy Fallon hosts this special retrospective of Prince's rare, but memorable performances on the show, including his first performance on the infamous season six episode hosted by Charlene Tilton (the one in which Charles Rocket's accidental utterance of the word ""fuck"" called for NBC to fire then-showrunner Jean Doumanian and most of her cast), his performance on the SNL 15th anniversary special, his first performance after 21 years in 2006 on the season 31 episode hosted by Steve Martin, his final performance on the season 40 episode hosted by Chris Rock, a never-before-seen clip of his performance at the cast party following the SNL 40th anniversary special, and clips of the short-lived recurring sketch The Prince Show with Fred Armisen as Prince and Maya Rudolph as Beyonce.",NA
"944","""Weekend Update at the RNC[160]""","July 20, 2016 (2016-07-20)","N/A",NA,NA
